Адрес,2ГИС
Витебская 25,https://go.2gis.com/nzhgvo
Витебская 27,https://go.2gis.com/hwxkl0
Витебская 29,https://go.2gis.com/wa75yu
Витебская 31,https://go.2gis.com/z3jify
Витебская 33,https://go.2gis.com/px4x3
Радостовца 360,https://go.2gis.com/zwfwb
Радостовца 364,https://go.2gis.com/cvvrxv
Радостовца  362,https://go.2gis.com/zpskn9
Радостовца 409/6,https://go.2gis.com/0vkdhq
Розыбакиева 390/8,https://go.2gis.com/d4x599
1-ая Лисянского 3,https://go.2gis.com/efsva
Ауэзова 122А,https://go.2gis.com/d7fevk
Ауэзова 122Б,https://go.2gis.com/d0rjq
Ауэзова 122В,https://go.2gis.com/sro54
Ауэзова 126А,https://go.2gis.com/111ute
Ауэзова 126Б,https://go.2gis.com/6un9nt
Ауэзова 126В,https://go.2gis.com/wx29rz
Ауэзова 171,https://go.2gis.com/z1lxx
Ауэзова 173,https://go.2gis.com/rp3fl
Ауэзова 173А,https://go.2gis.com/be6xxf
Габдуллина 59А,https://go.2gis.com/ftc54
Габдуллина 65,https://go.2gis.com/70xye
Габдуллина 67Б,https://go.2gis.com/5dvqu
Габдуллина 69,https://go.2gis.com/fpnsu
Манаса 75Г,https://go.2gis.com/96jwmp
Манаса 77А,https://go.2gis.com/63bbb
Манаса 77Б,https://go.2gis.com/9mxnx
Ауэзова 108,https://go.2gis.com/pij4d
Ауэзова 110,https://go.2gis.com/q2sk7
Ауэзова 110А,https://go.2gis.com/v4rst
ул.Жандосова 10/55,https://go.2gis.com/sxqyw
ул.Жандосова 12,https://go.2gis.com/73nl97
ул.Жандосова 16,https://go.2gis.com/ye04fk
ул.Жандосова 18,https://go.2gis.com/tfd3ey
ул.Жандосова 22,https://go.2gis.com/35ul2
ул.Жандосова 26,https://go.2gis.com/fegni
ул.Жандосова 28,https://go.2gis.com/xrzzp
ул.Жандосова 30,https://go.2gis.com/9ulwn
ул.Жандосова 32,https://go.2gis.com/cl8w6
Манаса 57,https://go.2gis.com/g7apx
Манаса 57А,https://go.2gis.com/zjvsj
Манаса 59,https://go.2gis.com/ojf3h
Манаса 59А,https://go.2gis.com/6jce7
Манаса 61,https://go.2gis.com/6x0cp4
Манаса 63,https://go.2gis.com/iiu8t
Манаса 63А,https://go.2gis.com/uu8v1
ул.Озтюрка Мустафы 3,https://go.2gis.com/bbxd5
ул.Озтюрка Мустафы 5,https://go.2gis.com/929a34
ул.Озтюрка Мустафы 9А,https://go.2gis.com/d42yw4
ул.Озтюрка Мустафы 11,https://go.2gis.com/t7ayh
ул.Озтюрка Мустафы 13,https://go.2gis.com/2s7pyt
Бухар Жырау 59,https://go.2gis.com/52mds
Бухар Жырау 61,https://go.2gis.com/mke7j
Бухар Жырау 61А,https://go.2gis.com/8vlyb
Бухар Жырау 65,https://go.2gis.com/fnh8g
Бухар Жырау 65А,https://go.2gis.com/qyh5b
Бухар Жырау 67,https://go.2gis.com/ljr90
Ауэзова 114/14,https://go.2gis.com/5c93ik
Ауэзова 116,https://go.2gis.com/68dtw
Ауэзова 118/69,https://go.2gis.com/jfwb9
Манаса 69,https://go.2gis.com/5x3g0
ул.Озтюрка Мустафы 2,https://go.2gis.com/cyu16b
ул.Озтюрка Мустафы 4,https://go.2gis.com/colssf
ул.Озтюрка Мустафы 6,https://go.2gis.com/stjjbn
ул.Озтюрка Мустафы 8,https://go.2gis.com/ctooc
ул.Озтюрка Мустафы 10,https://go.2gis.com/145wh
ул.Озтюрка Мустафы 12,https://go.2gis.com/3sniss
Бухар Жирау 2,https://go.2gis.com/kxwq1u
Бухар Жирау 4,https://go.2gis.com/2af7j
Байтурсынова 125,https://go.2gis.com/gejc9
Байтурсынова 127,https://go.2gis.com/lmcdhf
Байтурсынова 129,https://go.2gis.com/bp2oj
Байтурсынова 129А,https://go.2gis.com/9aezth
ул.Римского-Корсакова 2/6,https://go.2gis.com/bx3kox
ул.Римского-Корсакова 4,https://go.2gis.com/tvp63
ул.Римского-Корсакова 6,https://go.2gis.com/946zp7
ул.Римского-Корсакова 6А,https://go.2gis.com/w65op
ул.Римского-Корсакова 6Б,https://go.2gis.com/k7uuz
ул.Римского-Корсакова 6В,https://go.2gis.com/hp760
Лескова 1,https://go.2gis.com/15rtb
ул.Маркова 42,https://go.2gis.com/tk4r5
ул.Маркова 46,https://go.2gis.com/l4u5qw
ул.Маркова 48,https://go.2gis.com/k6kyhs
ул.Маркова 50,https://go.2gis.com/otrqy
ул.Маркова 52,https://go.2gis.com/mwhzh
ул.Маркова 55,https://go.2gis.com/c3z6ml
ул.Попова 3А,https://go.2gis.com/8vduz
ул.Попова 5,https://go.2gis.com/dhg8j
ул.Попова 9,https://go.2gis.com/22esw
ул.Попова 11,https://go.2gis.com/smnkh
ул.Попова 13,https://go.2gis.com/uem7v4
ул.Попова 17/6А,https://go.2gis.com/47wkv
ул.Попова 21,https://go.2gis.com/nwm08p
Байтурсынова 98,https://go.2gis.com/fy047
Байтурсынова 100,https://go.2gis.com/watzjc
Байтурсынова 106,https://go.2gis.com/prn7cq
ул.Масанчи 83,https://go.2gis.com/l2w9j
ул.Масанчи 83А,https://go.2gis.com/5dvqu
ул.Масанчи 85,https://go.2gis.com/t0qwh
ул.Масанчи 87,https://go.2gis.com/i6ajr
ул.Масанчи 89,https://go.2gis.com/u98l5
ул.Масанчи 91,https://go.2gis.com/4akcm
ул.Масанчи 93,https://go.2gis.com/vwyiec
ул.Масанчи 95,https://go.2gis.com/fmh58
ул.Масанчи 97,https://go.2gis.com/f9z5to
ул.Масанчи 99,https://go.2gis.com/hcifi9
Сатпаева 9,https://go.2gis.com/2v9td
Сатпаева 15,https://go.2gis.com/xjszt
Сатпаева 17,https://go.2gis.com/myodpn
Сатпаева 19,https://go.2gis.com/h0pxbb
Сатпаева 21,https://go.2gis.com/vaut4s
Сатпаева 23,https://go.2gis.com/g3w4bz
Сатпаева 25,https://go.2gis.com/oehtov
Сатпаева 27,https://go.2gis.com/3gahi0
Катаева 161,https://go.2gis.com/9lvzf6
Катаева 163,https://go.2gis.com/8occw
Катаева 166,https://go.2gis.com/d7ccu
Катаева 168,https://go.2gis.com/cyulft
Катаева 170,https://go.2gis.com/7z6wzg
Катаева 171,https://go.2gis.com/688sq
Катаева 172,https://go.2gis.com/qwuqc
Катаева 173,https://go.2gis.com/fyds2
Катаева 175,https://go.2gis.com/1hhcy
Катаева 176,https://go.2gis.com/rx06o
Катаева 179,https://go.2gis.com/u48j2
Радостовца 163,https://go.2gis.com/yq0au
Радостовца 163а,https://go.2gis.com/aj9oz
Радостовца 171,https://go.2gis.com/2pelg
Радостовца 173,https://go.2gis.com/uaibp
Радостовца 175,https://go.2gis.com/dsjh1
Радостовца 177,https://go.2gis.com/3boqz
Розыбакиева 164,https://go.2gis.com/5oesvs
Розыбакиева 166,https://go.2gis.com/ua8m2
Розыбакиева 168,https://go.2gis.com/2vjek6
Розыбакиева 170,https://go.2gis.com/udp8ef
Розыбакиева 172,https://go.2gis.com/u35cn
Розыбакиева 174,https://go.2gis.com/d76t9
Розыбакиева 174А,https://go.2gis.com/saktz
Розыбакиева 176,https://go.2gis.com/v7clyp
Розыбакиева 178,https://go.2gis.com/kh3tt
Розыбакиева 180,https://go.2gis.com/9piwd
Розыбакиева 184,https://go.2gis.com/l8qba
Гагарина 159,https://go.2gis.com/gctdwl
Гагарина 161,https://go.2gis.com/sq3fc
Гагарина 163,https://go.2gis.com/gm9bmm
Гагарина 165,https://go.2gis.com/0hrpe
Гагарина 206Г,https://go.2gis.com/p4trg
Гагарина 206Л,https://go.2gis.com/t0ete
Гагарина 206М,https://go.2gis.com/ea0jh
Утепова 9,https://go.2gis.com/jq36k
Утепова 9А,https://go.2gis.com/3v4rly
Утепова 11А,https://go.2gis.com/2bkone
Утепова 13,https://go.2gis.com/spx6p
Утепова 17,https://go.2gis.com/3sy10
Сыпатаева (8-ая линия) 117,https://go.2gis.com/0h3ce
Ауэзова 145А/36,https://go.2gis.com/0wz47
Ауэзова 145Б,https://go.2gis.com/vtx4y
Жарокова 150А,https://go.2gis.com/f55tl
Жарокова 150Б,https://go.2gis.com/xvj8r
Жарокова 152,https://go.2gis.com/jsbmrs
Сатпаева 38,https://go.2gis.com/m76ih
Сатпаева 42А,https://go.2gis.com/mzxu3a
Сатпаева 44,https://go.2gis.com/tb1nn
Сатпаева 46,https://go.2gis.com/d535a
Сатпаева 48,https://go.2gis.com/cews2
Сатпаева 50,https://go.2gis.com/rgsyz
Габдуллина 50/29,https://go.2gis.com/9rzpi
ул.Маркова 24,https://go.2gis.com/hsfbhk
ул.Маркова 24А,https://go.2gis.com/w8mrz4
ул.Маркова 27,https://go.2gis.com/a1dxi
ул.Маркова 30,https://go.2gis.com/tsdlz5
ул.Маркова 31,https://go.2gis.com/zc2ose
ул.Маркова 33,https://go.2gis.com/e9p6w
ул.Маркова 35/13А,https://go.2gis.com/7o6sm
ул.Маркова 36/19,https://go.2gis.com/ggqmt
ул.Минусинская 11,https://go.2gis.com/hxvwvn
ул.Пирогова 12,https://go.2gis.com/6pjt5
Дружбы 1,https://go.2gis.com/c8z8j
Дружбы 1А,https://go.2gis.com/5xmgl
Дружбы 3,https://go.2gis.com/f1lrf
Дружбы 5,https://go.2gis.com/9a8nbn
Дружбы 7А,https://go.2gis.com/ytfkif
Айвазовского 166,https://go.2gis.com/10ovba
Айвазовского 168,https://go.2gis.com/xh3oar
Айвазовского 170,https://go.2gis.com/wsi2x8
Айвазовского 173,https://go.2gis.com/n1s9n2
Айвазовского 173А,https://go.2gis.com/bcjlx
Айвазовского 175,https://go.2gis.com/5iyeyq
Брусиловского 277,https://go.2gis.com/dt8hj
Брусиловского 281,https://go.2gis.com/3ic6r0
Брусиловского 281А,https://go.2gis.com/ni4sz
Туркебаева 281,https://go.2gis.com/z26waw
ул.Навои 308А,https://go.2gis.com/rb3c8f
ул.Навои 308/2,https://go.2gis.com/yyngoz
ул.Навои 308/3,https://go.2gis.com/ow2pp
ул.Навои 308/4,https://go.2gis.com/uaowy
ул.Навои 308/5,https://go.2gis.com/1aagy
ул.Навои 308/6,https://go.2gis.com/iudwq
ул.Навои 308/7,https://go.2gis.com/xbn3b
ул.Навои 308/8,https://go.2gis.com/td5ua
ул.Навои 308/9,https://go.2gis.com/jfr68d
ул.Навои 308/10,https://go.2gis.com/ha8fvs
